x,y,STATION_NAME,CLIMATE_IDENTIFIER,ID,LOCAL_DATE,PROVINCE_CODE,LOCAL_YEAR,LOCAL_MONTH,LOCAL_DAY,MEAN_TEMPERATURE,MEAN_TEMPERATURE_FLAG,MIN_TEMPERATURE,MIN_TEMPERATURE_FLAG,MAX_TEMPERATURE,MAX_TEMPERATURE_FLAG,TOTAL_PRECIPITATION,TOTAL_PRECIPITATION_FLAG,TOTAL_RAIN,TOTAL_RAIN_FLAG,TOTAL_SNOW,TOTAL_SNOW_FLAG,SNOW_ON_GROUND,SNOW_ON_GROUND_FLAG,DIRECTION_MAX_GUST,DIRECTION_MAX_GUST_FLAG,SPEED_MAX_GUST,SPEED_MAX_GUST_FLAG,COOLING_DEGREE_DAYS,COOLING_DEGREE_DAYS_FLAG,HEATING_DEGREE_DAYS,HEATING_DEGREE_DAYS_FLAG,MIN_REL_HUMIDITY,MIN_REL_HUMIDITY_FLAG,MAX_REL_HUMIDITY,MAX_REL_HUMIDITY_FLAG
-64.47972222222222,48.77527777777778,GASPE A,7052601,7052601.2013.4.7,2013-04-07 00:00:00,QC,2013,4,7,-3.3,,-8.1,,1.6,,0,T,0,,0,T,41,,7,,39,,0,,21.3,,,,,
-64.47972222222222,48.77527777777778,GASPE A,7052601,7052601.2013.4.8,2013-04-08 00:00:00,QC,2013,4,8,0.2,,-3.9,,4.2,,2.2,,2.2,,0,,41,,33,,37,,0,,17.8,,,,,
-64.47972222222222,48.77527777777778,GASPE A,7052601,7052601.2013.4.9,2013-04-09 00:00:00,QC,2013,4,9,-0.8,,-5.4,,3.8,,0,,0,,0,,40,,0,,0,,0,,18.8,,,,,
-64.47972222222222,48.77527777777778,GASPE A,7052601,7052601.2013.4.11,2013-04-11 00:00:00,QC,2013,4,11,0.7,,-2.9,,4.2,,0,,0,,0,,,,26,,52,,0,,17.3,,,,,
-64.47972222222222,48.77527777777778,GASPE A,7052601,7052601.2013.4.12,2013-04-12 00:00:00,QC,2013,4,12,0.7,,-3.7,,5,,0,,0,,0,,39,,31,,39,,0,,17.3,,,,,
-64.47972222222222,48.77527777777778,GASPE A,7052601,7052601.2013.4.13,2013-04-13 00:00:00,QC,2013,4,13,1.1,,-0.9,,3.1,,0.8,,0.8,,0,T,38,,11,,33,,0,,16.9,,,,,
-64.47972222222222,48.77527777777778,GASPE A,7052601,7052601.2013.4.14,2013-04-14 00:00:00,QC,2013,4,14,-1.9,,-5.6,,1.8,,0,,0,,0,,37,,7,,33,,0,,19.9,,,,,
-64.47972222222222,48.77527777777778,GASPE A,7052601,7052601.2013.4.15,2013-04-15 00:00:00,QC,2013,4,15,1.4,,-5.4,,8.1,,0,,0,,0,,37,,0,,0,,0,,16.6,,,,,
-64.47972222222222,48.77527777777778,GASPE A,7052601,7052601.2013.4.16,2013-04-16 00:00:00,QC,2013,4,16,2.3,,-5.5,,10,,0,,0,,0,,31,,23,,65,,0,,15.7,,,,,
-64.47972222222222,48.77527777777778,GASPE A,7052601,7052601.2013.4.17,2013-04-17 00:00:00,QC,2013,4,17,4,,-0.9,,8.8,,0,,0,,0,,29,,30,,89,,0,,14,,,,,
-64.47972222222222,48.77527777777778,GASPE A,7052601,7052601.2013.4.18,2013-04-18 00:00:00,QC,2013,4,18,-3.4,,-12,,5.2,,1.2,,0,,1.2,,27,,6,,39,,0,,21.4,,,,,
-64.47972222222222,48.77527777777778,GASPE A,7052601,7052601.2013.4.19,2013-04-19 00:00:00,QC,2013,4,19,6.8,,0.4,,13.2,,11.6,,10.6,,0.8,,17,,20,,52,,0,,11.2,,,,,
-64.47972222222222,48.77527777777778,GASPE A,7052601,7052601.2013.4.22,2013-04-22 00:00:00,QC,2013,4,22,-0.6,,-7.4,,6.2,,0,,0,,0,,10,,7,,35,,0,,18.6,,,,,
-64.47972222222222,48.77527777777778,GASPE A,7052601,7052601.2013.4.23,2013-04-23 00:00:00,QC,2013,4,23,4.1,,-3.6,,11.8,,0,,0,,0,,8,,16,,46,,0,,13.9,,,,,
-64.47972222222222,48.77527777777778,GASPE A,7052601,7052601.2013.4.27,2013-04-27 00:00:00,QC,2013,4,27,4.7,,-3.9,,13.3,,0,,0,,0,,2,,3,,32,,0,,13.3,,,,,
-64.47972222222222,48.77527777777778,GASPE A,7052601,7052601.2013.4.30,2013-04-30 00:00:00,QC,2013,4,30,7.8,,-0.7,,16.3,,0,,0,,0,,,,0,,0,,0,,10.2,,,,,
-64.47972222222222,48.77527777777778,GASPE A,7052601,7052601.2013.5.2,2013-05-02 00:00:00,QC,2013,5,2,4,,-2.9,,10.9,,0,,0,,0,,,,8,,32,,0,,14,,,,,
-64.47972222222222,48.77527777777778,GASPE A,7052601,7052601.2013.5.6,2013-05-06 00:00:00,QC,2013,5,6,9.6,,2.9,,16.3,,0,,0,,0,,,,0,,0,,0,,8.4,,,,,
-64.47972222222222,48.77527777777778,GASPE A,7052601,7052601.2013.5.7,2013-05-07 00:00:00,QC,2013,5,7,12.8,,2,,23.5,,0,,0,,0,,,,8,,35,,0,,5.2,,,,,
-64.47972222222222,48.77527777777778,GASPE A,7052601,7052601.2013.5.8,2013-05-08 00:00:00,QC,2013,5,8,8,,-0.8,,16.7,,0,,0,,0,,,,8,,35,,0,,10,,,,,
-64.47972222222222,48.77527777777778,GASPE A,7052601,7052601.2013.5.9,2013-05-09 00:00:00,QC,2013,5,9,13.4,,3.7,,23.1,,0,T,0,T,0,,,,26,,37,,0,,4.6,,,,,
-64.47972222222222,48.77527777777778,GASPE A,7052601,7052601.2013.5.10,2013-05-10 00:00:00,QC,2013,5,10,12.6,,7,,18.1,,0,T,0,T,0,,,,34,,39,,0,,5.4,,,,,
-64.47972222222222,48.77527777777778,GASPE A,7052601,7052601.2013.5.12,2013-05-12 00:00:00,QC,2013,5,12,11.3,,4.6,,18,,3.4,,3.4,,0,,,,0,,0,,0,,6.7,,,,,
-64.47972222222222,48.77527777777778,GASPE A,7052601,7052601.2013.5.13,2013-05-13 00:00:00,QC,2013,5,13,7.8,,0.8,,14.8,,3,,3,,0,,,,26,,65,,0,,10.2,,,,,
-64.47972222222222,48.77527777777778,GASPE A,7052601,7052601.2013.5.14,2013-05-14 00:00:00,QC,2013,5,14,4.5,,-0.7,,9.6,,0,,0,,0,,,,0,,0,,0,,13.5,,,,,
-64.47972222222222,48.77527777777778,GASPE A,7052601,7052601.2013.5.15,2013-05-15 00:00:00,QC,2013,5,15,6.4,,-0.7,,13.4,,10.6,,10.6,,0,,,,30,,48,,0,,11.6,,,,,
-64.47972222222222,48.77527777777778,GASPE A,7052601,7052601.2013.5.17,2013-05-17 00:00:00,QC,2013,5,17,3.4,,1.8,,5,,,M,,M,0,,,,1,,35,,0,,14.6,,,,,
-64.47972222222222,48.77527777777778,GASPE A,7052601,7052601.2013.5.18,2013-05-18 00:00:00,QC,2013,5,18,1,,-3.1,,5.1,,2.4,,2.4,,0,,,,0,,0,,0,,17,,,,,
-64.47972222222222,48.77527777777778,GASPE A,7052601,7052601.2013.5.19,2013-05-19 00:00:00,QC,2013,5,19,5.2,,-3.2,,13.5,,0,,0,,0,,,,8,,33,,0,,12.8,,,,,
-64.47972222222222,48.77527777777778,GASPE A,7052601,7052601.2013.5.20,2013-05-20 00:00:00,QC,2013,5,20,8.1,,-0.9,,17,,1.8,,1.8,,0,,,,19,,46,,0,,9.9,,,,,
-64.47972222222222,48.77527777777778,GASPE A,7052601,7052601.2013.5.21,2013-05-21 00:00:00,QC,2013,5,21,7.5,,-1,,16,,0,,0,,0,,,,32,,43,,0,,10.5,,,,,
-64.47972222222222,48.77527777777778,GASPE A,7052601,7052601.2013.5.22,2013-05-22 00:00:00,QC,2013,5,22,7.5,,-1,,16,,0.8,,0.8,,0,,,,12,,37,,0,,10.5,,,,,
-64.47972222222222,48.77527777777778,GASPE A,7052601,7052601.2013.5.23,2013-05-23 00:00:00,QC,2013,5,23,8.2,,6,,10.3,,14.6,,14.6,,0,,,,10,,39,,0,,9.8,,,,,
-64.47972222222222,48.77527777777778,GASPE A,7052601,7052601.2013.5.24,2013-05-24 00:00:00,QC,2013,5,24,9,,6.9,,11,,28.4,,28.4,,0,,,,0,,0,,0,,9,,,,,
-64.47972222222222,48.77527777777778,GASPE A,7052601,7052601.2013.5.25,2013-05-25 00:00:00,QC,2013,5,25,7,,5.7,,8.3,,41.8,,41.8,,0,,,,36,,33,,0,,11,,,,,
-64.47972222222222,48.77527777777778,GASPE A,7052601,7052601.2013.5.26,2013-05-26 00:00:00,QC,2013,5,26,7.1,,4.5,,9.6,,8.8,,8.8,,0,,,,0,,0,,0,,10.9,,,,,
-64.47972222222222,48.77527777777778,GASPE A,7052601,7052601.2013.5.27,2013-05-27 00:00:00,QC,2013,5,27,8.1,,4.5,,11.6,,1.2,,1.2,,0,,,,29,,44,,0,,9.9,,,,,
