x,y,STATION_NAME,CLIMATE_IDENTIFIER,ID,LOCAL_DATE,PROVINCE_CODE,LOCAL_YEAR,LOCAL_MONTH,LOCAL_DAY,MEAN_TEMPERATURE,MEAN_TEMPERATURE_FLAG,MIN_TEMPERATURE,MIN_TEMPERATURE_FLAG,MAX_TEMPERATURE,MAX_TEMPERATURE_FLAG,TOTAL_PRECIPITATION,TOTAL_PRECIPITATION_FLAG,TOTAL_RAIN,TOTAL_RAIN_FLAG,TOTAL_SNOW,TOTAL_SNOW_FLAG,SNOW_ON_GROUND,SNOW_ON_GROUND_FLAG,DIRECTION_MAX_GUST,DIRECTION_MAX_GUST_FLAG,SPEED_MAX_GUST,SPEED_MAX_GUST_FLAG,COOLING_DEGREE_DAYS,COOLING_DEGREE_DAYS_FLAG,HEATING_DEGREE_DAYS,HEATING_DEGREE_DAYS_FLAG,MIN_REL_HUMIDITY,MIN_REL_HUMIDITY_FLAG,MAX_REL_HUMIDITY,MAX_REL_HUMIDITY_FLAG
-64.45,48.86666666666667,FAREWELL COVE,7052316,7052316.1980.5.22,1980-05-22 00:00:00,QC,1980,5,22,13,,9,,17,,0.8,,0.8,,0,,,,,,,,0,,5,,,,,
-64.45,48.86666666666667,FAREWELL COVE,7052316,7052316.1980.5.23,1980-05-23 00:00:00,QC,1980,5,23,5.3,,-0.5,,11,,0,,0,,0,,,,,,,,0,,12.7,,,,,
-64.45,48.86666666666667,FAREWELL COVE,7052316,7052316.1980.5.24,1980-05-24 00:00:00,QC,1980,5,24,5,,-3,,13,,0.6,,0.6,,0,,,,,,,,0,,13,,,,,
-64.45,48.86666666666667,FAREWELL COVE,7052316,7052316.1980.5.25,1980-05-25 00:00:00,QC,1980,5,25,6.8,,2,,11.5,,0.8,,0.8,,0,,,,,,,,0,,11.2,,,,,
-64.45,48.86666666666667,FAREWELL COVE,7052316,7052316.1980.5.26,1980-05-26 00:00:00,QC,1980,5,26,7.5,,3,,12,,2.6,,2.6,,0,,,,,,,,0,,10.5,,,,,
-64.45,48.86666666666667,FAREWELL COVE,7052316,7052316.1980.5.27,1980-05-27 00:00:00,QC,1980,5,27,7.5,,3.5,,11.5,,0,,0,,0,,,,,,,,0,,10.5,,,,,
-64.45,48.86666666666667,FAREWELL COVE,7052316,7052316.1980.5.28,1980-05-28 00:00:00,QC,1980,5,28,7.5,,-0.5,,15.5,,0,,0,,0,,,,,,,,0,,10.5,,,,,
-64.45,48.86666666666667,FAREWELL COVE,7052316,7052316.1980.5.29,1980-05-29 00:00:00,QC,1980,5,29,9,,2,,16,,0,,0,,0,,,,,,,,0,,9,,,,,
-64.45,48.86666666666667,FAREWELL COVE,7052316,7052316.1980.5.30,1980-05-30 00:00:00,QC,1980,5,30,7.3,,0.5,,14,,0,,0,,0,,,,,,,,0,,10.7,,,,,
-64.45,48.86666666666667,FAREWELL COVE,7052316,7052316.1980.5.31,1980-05-31 00:00:00,QC,1980,5,31,9.8,,1,,18.5,,0.6,,0.6,,0,,,,,,,,0,,8.2,,,,,
